config,port_included,f1,recall,precision,auc_pr
Without destination_port (proposed),False,0.9954538352219883,0.9960986360116744,0.9948098686852163,0.9997419558438857
With destination_port (leaky),True,0.9964641737606038,0.998764071713622,0.994174843624937,0.9999009117712443
