model,f1_without_port,f1_with_port,delta_f1
SVM (LinearSVC),0.7858875331169074,0.8273733866212409,0.041485853504333536
Logistic Regression,0.7986041433971314,0.8381257360627753,0.03952159266564392
Naive Bayes,0.298526565454281,0.3092793538027347,0.010752788348453668
MLP,0.9659808205875212,0.971143553419728,0.005162732832206807
GBT,0.9924232314695373,0.9940938163147195,0.0016705848451822325
Decision Tree,0.9952678458669797,0.9966438966438966,0.0013760507769169372
Random Forest,0.9953648937199145,0.9964123628638704,0.0010474691439558148
XGBoost,0.9972064548723589,0.9979485654823843,0.0007421106100253816
