train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,42,0.9955346511074066,0.9951199190620722,0.9959497289892192,0.9997115392792802
CICIDS2017,CSE-CIC-IDS2018,cross,42,0.2978302648803721,0.9787643020594966,0.1756377194855538,0.526111772204802
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,42,0.9245697517003219,0.9127532891577835,0.9366961777894581,0.9683814157066404
CSE-CIC-IDS2018,CICIDS2017,cross,42,0.057454370540605544,0.27972937809003384,0.03201500982786348,0.17907875807151508
