train,test,adaptation,f1,precision,recall,auc_pr,f1_no_adaptation,delta_f1
CICIDS2017,CSE-CIC-IDS2018,scaler-refit (target statistics),0,0.0,0.0,0.17417702611289002,0.04227003390474983,-0.04227003390474983
CICIDS2017,CSE-CIC-IDS2018,CORAL (target -> source),0,0.0,0.0,0.21299675047265615,0.04227003390474983,-0.04227003390474983
CSE-CIC-IDS2018,CICIDS2017,scaler-refit (target statistics),0,0.0,0.0,0.08802904477828767,0.05610030541713551,-0.05610030541713551
CSE-CIC-IDS2018,CICIDS2017,CORAL (target -> source),0,0.0,0.0,0.25762626333311717,0.05610030541713551,-0.05610030541713551
