train,test,kind,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,0.9951562860395384,0.9944977321733958,0.9958157126690095,0.9997114873031809
CICIDS2017,CSE-CIC-IDS2018,cross,0.04227003390474983,0.5963343763969602,0.0219115980355119,0.47197538457985805
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,0.9249108011676938,0.9133714505357229,0.9367454542468093,0.968730520417433
CSE-CIC-IDS2018,CICIDS2017,cross,0.05610030541713551,0.27934898612593384,0.03118113050211448,0.19943484336407355
