train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,23,0.9951347973576148,0.9943063566629007,0.9959646196914647,0.9997146135832615
CICIDS2017,CSE-CIC-IDS2018,cross,23,0.04338120042431247,0.6008771929824561,0.022502915523726612,0.4770386382847965
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,23,0.9240901661892973,0.9105927000781338,0.9379937911663737,0.967629983437555
CSE-CIC-IDS2018,CICIDS2017,cross,23,0.052001349983125215,0.27836392542274896,0.028679492524867473,0.26464388933661515
