train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,11,0.9951414051978781,0.9944828611792699,0.995800821966764,0.9997029269625997
CICIDS2017,CSE-CIC-IDS2018,cross,11,0.08428786211386147,0.7477997799779978,0.04466089584599465,0.45901820020036505
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,11,0.9249266767131722,0.9126229115037173,0.9375667285359964,0.9678448533481213
CSE-CIC-IDS2018,CICIDS2017,cross,11,0.051883094060075165,0.2814608389557055,0.02857525760914885,0.18982769779645328
