train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,5,0.9952978989345872,0.9945875215606971,0.9960092917982012,0.9996759883355844
CICIDS2017,CSE-CIC-IDS2018,cross,5,0.18536026777849554,0.8725639253628197,0.10369409175276359,0.4854630575041047
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,5,0.9254048615843963,0.9143512209199789,0.9367290287610256,0.9675048634185119
CSE-CIC-IDS2018,CICIDS2017,cross,5,0.05274033782612753,0.25187826308417166,0.029453809041634405,0.23745871290334153
