train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,11,0.9952600287225889,0.9946901075364776,0.995830603371255,0.9997122660426648
CICIDS2017,CSE-CIC-IDS2018,cross,11,0.2606199608830855,0.9090106007067138,0.15211642384323518,0.4532995640066765
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,11,0.9246468835039523,0.9120161045517726,0.9376324304791315,0.967836685599376
CSE-CIC-IDS2018,CICIDS2017,cross,11,0.05271930532032154,0.27093119646311137,0.0292006671034606,0.17092459422813913
