train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,42,0.9955349169494553,0.9950609937518595,0.9960092917982012,0.9997209419752658
CICIDS2017,CSE-CIC-IDS2018,cross,42,0.29360914714980113,0.9216298222800173,0.17461933936696178,0.5356100592302456
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,42,0.924717233550898,0.9130720210074615,0.9366633268178907,0.9670128307969478
CSE-CIC-IDS2018,CICIDS2017,cross,42,0.05783744072664129,0.2808405759501881,0.032238370361546254,0.18876072100773902
