train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,5,0.9952604519311613,0.9946018291322775,0.9959199475847281,0.9996796606455889
CICIDS2017,CSE-CIC-IDS2018,cross,5,0.049464945231857065,0.6326201049656843,0.0257387362231238,0.5162170314787004
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,5,0.9249882414000031,0.9134912626335432,0.9367783052183768,0.967607146067065
CSE-CIC-IDS2018,CICIDS2017,cross,5,0.05409206469410937,0.2944640753828033,0.029781404491035796,0.21858838526585106
