train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,31,0.9950833451104946,0.9941294493572118,0.9960390732026922,0.9996972696170722
CICIDS2017,CSE-CIC-IDS2018,cross,31,0.030254802668595773,0.7107250755287009,0.015456382122501272,0.48385786762432736
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,31,0.9247923965226418,0.9133122967756403,0.9365647739031882,0.9678651389160112
CSE-CIC-IDS2018,CICIDS2017,cross,31,0.05769179310160284,0.28420775112048513,0.03210435404133659,0.1826403411834183
