train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,31,0.9951425617221963,0.9942476626484534,0.9960390732026922,0.9997072561448823
CICIDS2017,CSE-CIC-IDS2018,cross,31,0.02914776565968536,0.7050583657587549,0.014881490120070302,0.48586189161180277
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,31,0.9246809683643852,0.9129857030787211,0.9366797523036744,0.9682253949834222
CSE-CIC-IDS2018,CICIDS2017,cross,31,0.05805789587383884,0.31123335263462654,0.03201500982786348,0.19312671761206776
