train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,7,0.9952388745889811,0.9944251181874945,0.9960539639049377,0.9997295373860616
CICIDS2017,CSE-CIC-IDS2018,cross,7,0.04489227751589737,0.6071887034659821,0.023307764327129974,0.4860136490007369
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,7,0.9228055697144752,0.9093054403979846,0.9367126032752419,0.9666770488499399
CSE-CIC-IDS2018,CICIDS2017,cross,7,0.04836280028541981,0.2147383243370101,0.027249985109297756,0.17989696915909556
