train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,42,0.9954386147675776,0.9948685913167641,0.9960092917982012,0.9997205253133999
CICIDS2017,CSE-CIC-IDS2018,cross,42,0.30086871916046987,0.9782176428054953,0.17777303263744026,0.5084814262937765
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,42,0.9247245575490283,0.9129926680113982,0.9367618797325931,0.9679206831433816
CSE-CIC-IDS2018,CICIDS2017,cross,42,0.05868443680137576,0.3001649257833975,0.03252129370421109,0.17700602035375998
