train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,23,0.9951200642723242,0.9942621001308122,0.9959795103937101,0.999707248876421
CICIDS2017,CSE-CIC-IDS2018,cross,23,0.0411423499952455,0.5854758682904826,0.021320280547297187,0.47764071109355055
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,23,0.9241701941676851,0.9109650242532551,0.9377638343654013,0.9667123659689464
CSE-CIC-IDS2018,CICIDS2017,cross,23,0.05319363288333669,0.27164220057621075,0.02948359044612544,0.28393859828747664
