train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,13,0.9952156670163769,0.9945866361297423,0.9958454940735005,0.9997092374731448
CICIDS2017,CSE-CIC-IDS2018,cross,13,0.22242036384554537,0.8935752253293274,0.1270182815656773,0.4654977870703886
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,13,0.9250508933712904,0.913675980517816,0.9367126032752419,0.9682135040107935
CSE-CIC-IDS2018,CICIDS2017,cross,13,0.04969267632045005,0.1980074719800747,0.02841145988444815,0.1992585939204865
