train,test,kind,seed,f1,precision,recall,auc_pr
CICIDS2017,CICIDS2017,in-domain,23,0.9951572949289216,0.9942919150327769,0.9960241825004468,0.9997199172176958
CICIDS2017,CSE-CIC-IDS2018,cross,23,0.04157951448310833,0.5891333632689717,0.021550237348269576,0.4700695630977738
CSE-CIC-IDS2018,CSE-CIC-IDS2018,in-domain,23,0.9244668965852235,0.9114797017927555,0.9378295363085363,0.9674502744302941
CSE-CIC-IDS2018,CICIDS2017,cross,23,0.05579954196416543,0.2927622278767317,0.030838644350467567,0.2800785136449011
