feature,importance
bwd_packet_length_std,0.11178124958329938
packet_length_std,0.08528204416540858
avg_bwd_segment_size,0.05987860901760557
average_packet_size,0.05523601652318224
bwd_packet_length_mean,0.053064710842416984
packet_length_mean,0.05095629468265464
max_packet_length,0.05039237031709929
subflow_bwd_bytes,0.04450842388996268
packet_length_variance,0.043113027050704036
bwd_packet_length_max,0.02955551246301868
total_fwd_packets,0.028082643650493115
total_length_of_bwd_packets,0.022936687768415932
subflow_fwd_packets,0.020960977268658153
total_backward_packets,0.020872385035951756
fwd_iat_max,0.0208291919745698
subflow_bwd_packets,0.019943501965723125
fwd_header_length55,0.01608736861493026
total_length_of_fwd_packets,0.01550908044295872
idle_max,0.014883132781120507
fwd_header_length34,0.014562702344359944
bwd_packets_s,0.014381305969566178
bwd_header_length,0.013695016169757582
flow_iat_std,0.013373103175343572
idle_mean,0.012822868843798668
subflow_fwd_bytes,0.012789980001514186
flow_iat_max,0.011448076441085852
fwd_packet_length_max,0.0098004121024091
fwd_iat_std,0.009375544694158399
init_win_bytes_forward,0.00851162752606841
flow_packets_s,0.008152621532227787
init_win_bytes_backward,0.008125620957796339
avg_fwd_segment_size,0.008057847246662177
fwd_iat_mean,0.007460743701265896
act_data_pkt_fwd,0.007259927089350562
idle_min,0.005563183308554773
fwd_packet_length_mean,0.005264862621647777
fwd_packet_length_std,0.004992701550649635
flow_duration,0.004728966010362607
fwd_iat_total,0.004635491266051329
flow_iat_mean,0.004606090473965947
fwd_packet_length_min,0.004083000720470317
active_min,0.00393259644105816
fwd_iat_min,0.003719987872568506
min_packet_length,0.003298901472317827
fwd_packets_s,0.003192042130645115
active_max,0.0031216793549811573
fin_flag_count,0.0028031213435709625
flow_bytes_s,0.0026847368013606767
bwd_iat_mean,0.002166114290104767
active_mean,0.001982170420735728
min_seg_size_forward,0.0017644404067706772
bwd_iat_max,0.0017412557025078932
ack_flag_count,0.001689436623835174
bwd_iat_total,0.0014407810571570466
bwd_iat_std,0.0013926058095811572
flow_iat_min,0.0011572315720726613
bwd_packet_length_min,0.0011378359112833622
active_std,0.0011307570566020271
bwd_iat_min,0.0008663588228926292
down_up_ratio,0.0007503746855714552
psh_flag_count,0.0007078291702966048
syn_flag_count,0.0005648965391866814
fwd_psh_flags,0.000560145166431084
urg_flag_count,0.00043826649706641573
idle_std,0.00019103309344048952
rst_flag_count,2.1498071707614433e-07
ece_flag_count,1.3499695230138537e-07
fwd_urg_flags,9.101993978511605e-08
cwe_flag_count,3.897511239068907e-08
bwd_avg_bulk_rate,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
bwd_urg_flags,0.0
fwd_avg_bytes_bulk,0.0
bwd_psh_flags,0.0
fwd_avg_packets_bulk,0.0
