Method,Model,N_splits,f1_scores,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_ci95_nb_low,f1_ci95_nb_high,pvalue_vs_other_top_method,paired_cohens_d,tost_margin,tost_pvalue,tost_equivalent,tost_min_margin
Baseline (All Features),XGBoost,6,"0.997392,0.997365,0.997203,0.997334,0.997389,0.997354",0.9973395207083442,7.024928181012536e-05,0.9972657986083355,0.9974132428083529,0.9972229558333852,0.9974560855833032,0.03125,1.9441922024988665,0.001,3.901653153e-06,True,0.0002301503237
SHAP Top-30,XGBoost,6,"0.997141,0.997328,0.997085,0.997164,0.997279,0.997213",0.9972017000415428,9.032836731475642e-05,0.9971069062335891,0.9972964938494966,0.9970518178709357,0.99735158221215,0.03125,1.9441922024988665,0.001,3.901653153e-06,True,0.0002301503237
