split,seed,method,f1_fixed_ranking,f1_reranked,delta_f1,feature_overlap,top_k
1,1000,SHAP Top-30,0.9971557538729768,0.9972001625235474,-4.440865057053767e-05,26,30
2,1001,SHAP Top-30,0.997240096817994,0.9971663862569734,7.371056102056794e-05,25,30
